OBJECTID,wdpaid,en_name,PATH,ROW,Shape_Length,Shape_Area
108,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,60,18,9.127301043982504,2.488450134853804
109,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,60,19,7.341870305326760,1.785349657794278
110,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,61,17,5.986396067476255,0.552818166552509
111,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,61,18,11.139578703353816,3.779533816729232
112,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,61,19,3.528150178242707,0.259959739183402
113,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,62,17,8.181485322072742,1.567465092702175
114,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,62,18,11.016885668682823,3.211266827422711
115,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,63,16,2.371240716374009,0.175494029423353
116,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,63,17,9.851954749584209,3.480228956696121
117,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,63,18,10.559781075013499,2.418332531564063
118,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,64,16,5.954693352792069,0.865349617144585
119,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,64,17,10.520855643663054,4.842929679967504
120,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,64,18,8.862812235136627,1.016694524880138
121,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,65,16,9.220967616601051,1.670547556615360
122,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,65,17,12.968990144124254,3.968890909759501
123,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,65,18,2.413003495355140,0.075954548055409
124,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,66,16,7.028093948184276,1.327647724148211
125,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,66,17,9.574934540437869,1.387499416726377
126,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,67,16,4.643998234007502,0.388946154923613
